연도,월,일,순위,영화명,매출액,매출액_점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,개봉일
2020,4,2,3426,형수의 유혹 무삭제,6000,0,1,1,1,한국,한국,(주)영화사가을,2020-04-02T00:00:00Z
2020,5,13,3426,정사 : 착한 며느리들 3 무삭제,6000,0,1,1,1,한국,한국,(주)영화사가을,2020-05-13T00:00:00Z
2020,4,30,3426,왕대륙의 기묘기사,1000,0,1,1,1,중국,중국,(유)조이앤시네마,2020-04-30T00:00:00Z
2020,4,2,3426,스와핑 : 아내의 친구 무삭제,6000,0,1,1,1,한국,한국,(주)영화사가을,2020-04-02T00:00:00Z
2003,1,24,3426,영웅,2000,0,1,1,1,중국,중국,"(유)조이앤시네마,코리아픽쳐스(주)",2003-01-24T00:00:00Z
2007,8,8,3426,리턴,3000,0,1,1,1,한국,한국,CJ ENM,2007-08-08T00:00:00Z
2013,8,22,3426,투 마더스,2000,0,1,1,1,프랑스,프랑스,(주)싸이더스,2013-08-22T00:00:00Z
2014,9,4,3426,하늘의 황금마차,7000,0,1,1,1,한국,한국,(주)영화사 진진,2014-09-04T00:00:00Z
2013,11,28,3426,안녕?! 오케스트라,8000,0,1,1,1,한국,한국,(주)영화사 진진,2013-11-28T00:00:00Z
2013,3,28,3426,모래가 흐르는 강,5000,0,1,1,1,한국,한국,(주)시네마달,2013-03-28T00:00:00Z
2014,9,25,3426,좀비스쿨,3500,0,1,1,1,한국,한국,(주)박수엔터테인먼트,2014-09-25T00:00:00Z
2017,1,26,3426,다방의 푸른 꿈,8000,0,1,1,1,한국,한국,"스토리 너머,아이 엠",2017-01-26T00:00:00Z
2018,4,12,3426,눈꺼풀,8000,0,1,1,1,한국,한국,(주)영화사 진진,2018-04-12T00:00:00Z
2017,8,24,3426,그럼에도 불구하고,8000,0,1,1,1,한국,한국,영화배급협동조합 씨네소파,2017-08-24T00:00:00Z
